Element,LOCALITY,STATE,TOPOSHEET,LATITUDE,LONGITUDE,COMMODITY,HOSTROCK,MORPHOGENESIS,FORMATION,METALLOGENESIS,LATDD,LONDD
Lead-Zinc,SARGIPALLI,ORISSA,64 N,22 03N,83 55E,Lead-Zinc,GARNETIFEROUS MICA SCHIST,STRATABOUND-REMOBILISED,GANGpUR Gp.,SARGIPALLI BELT,22.05,83.91666666666667
Lead-Zinc,SAWAR,RAJASTHAN,45 O,25 47N,75 20E,Lead-Zinc,"DOLOMITE,SCHIST QUARTZITE",STRATABOUND-CONCORDANT,BHILWARA Sgp.,SAWAR BELT,25.78333333333333,75.33333333333333
Lead-Zinc,TIKHI,RAJASTHAN,45 O,25 46N,75 14E,Lead-Zinc,"DOLOMITE,SCHIST QUARTZITE",STRATABOUND-CONCORDANT,BHILWARA Sgp.,SAWAR BELT,25.766666666666666,75.23333333333333
Lead-Zinc,GOLLAPALLE,ANDHRA PRADESH,73 J,14 45 30 N,78 54 20 E,Lead-Zinc,"DOLOMITE,SLATES,CHERTS",STRATABOUND-CONCORDANT,CUMBUM SLATES,VARIKUNTA-ZANGAMARAJUPALLE,14.758333333333333,78.90555555555557
Lead-Zinc,ZANGAMARAZUPALLE,ANDHRA PRADESH,73 J,14 46 N,78 53 E,Lead-Zinc,DOLOMITE,STRATABOUND-CONCORDANT,CUMBUM,VARIKUNTA-ZANGAMARAZUPALLE,14.766666666666667,78.88333333333334
Lead-Zinc,BALARIA,RAJASTHAN,45 H,24 21N,73 44E,Lead-Zinc,DOLOMITE-CHERTY QUARTZITE,STRATABOUND-CONCORDANT,UDAIPUR Gp.,ZAWAR BELT,24.35,73.73333333333333
Lead-Zinc,BAROI MOGRA,RAJASTHAN,45 H,24 20N,73 42E,Lead-Zinc,DOLOMITE,STRATABOUND-CONCORDANT,UDAIPUR Gp.,ZAWAR BELT,24.33333333333333,73.7
Lead-Zinc,MOCHIA,RAJASTHAN,45 H,24 21 22N,73 42 43E,Lead-Zinc,DOLOMITE,STRATABOUND-DISSEMINATION/STRINGERS,UDAIPUR Gp.,ZAWAR BELT,24.35611111111111,73.71194444444444
Lead-Zinc,PADUNA,RAJASTHAN,45 H,24 16N,73 40E,Lead-Zinc,"DOLOMITE,CHERTY QUARTZITE",STRATABOUND-DISSEMINATION/STRINGERS,UDAIPUR Gp.,ZAWAR BELT,24.266666666666666,73.66666666666667
Lead-Zinc,SONARIA-RUPARIA,RAJASTHAN,45 H,24 19 24 21N,73 41 73 44E,Lead-Zinc,DOLOMITE,STRATABOUND-DISSEMINATION/STRINGERS,UDAIPUR Gp.,ZAWAR BELT,,
